PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PitchUID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ
31,10/13/2021,1:32:59 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Cutter,Live,,81.93249,-2.05667,2.11741,2065.48998,190.69195,12:15,4.4305,-2.18682,4.25084,,,,,,,,,,-0.39234,6.09379,1.95376,50,4.17244,-4.46607,-118.71889,-5.54575,-0.55494,24.62385,-23.55481,1829ecc7-cb2e-4037-a7d0-f5fdc5d2907a,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
32,10/13/2021,1:33:23 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,88.87938,-1.60722,2.53053,2175.55626,146.64017,11:00,4.65374,-2.16613,4.40397,-19.7183,17.55147,-11.57591,1.47483,-0.71425,81.27595,-5.20469,0.41288,0.43939,6.6013,9.40732,1.90778,50,4.46369,-5.22872,-128.94987,-4.4226,11.14666,26.09962,-16.28927,be5d2f2e-5dbd-42b8-b4bd-9ba910ccca79,b7959947-0476-4cd6-a540-95522e7e0494,85.78364,Pitch,21380013,,,,,,,,,,,,,,,,,,
33,10/13/2021,1:40:51 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.0829,-1.27224,4.56835,1772.29015,97.39036,9:15,3.72932,-2.99911,4.18868,,,,,,,,,,9.00021,1.35804,2.50986,50,3.5497,-9.34809,-124.4549,-4.31946,13.98656,27.11801,-30.06363,41597b17-9c97-4235-b8cf-3d4332a8e0c4,e0c025a7-04ef-4d50-b7e8-71219c8b771c,,Pitch,21380013,,,,,,,,,,,,,,,,,,
34,10/13/2021,1:41:24 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.19262,-0.05426,3.71249,1815.22531,95.67023,9:15,3.77919,-3.13462,4.18225,-38.29384,1.67364,-17.19211,0.53594,-1.00499,79.11556,-6.99735,0.58473,0.45501,9.70491,0.86314,2.74221,50,3.73416,-7.4101,-124.93543,-1.66987,15.40617,24.14123,-30.80385,f5a7bce0-7bc2-4420-9d0a-0983e74a52c4,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.83797,Pitch,21380013,,,,,,,,,,,,,,,,,,
35,10/13/2021,1:41:44 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.15639,-0.37563,4.62658,2037.54294,103.23094,9:30,3.78506,-3.05585,4.39262,-35.59445,4.43258,-18.99464,0.45913,-0.21289,78.48774,-6.87501,1.15038,0.45535,11.04304,2.37594,2.57974,50,3.71092,-9.34709,-124.69763,-2.21451,17.34445,25.65841,-28.44234,449d8265-ed92-46a0-9ec3-6183a1fdeb8f,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.77633,Pitch,21380013,,,,,,,,,,,,,,,,,,
36,10/13/2021,1:42:05 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.6782,,,1971.1788,,,3.85675,-3.22645,4.49492,,,,1.55057,1.8458,78.51696,,,0.45427,17.47827,0.97423,2.42365,50,3.9118,-16.09347,-124.70323,0.41453,27.49623,25.30306,-30.64142,5f4cb962-0974-4201-b89f-c0ab584ff14d,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.97456,Pitch,21380013,,,,,,,,,,,,,,,,,,
37,10/13/2021,1:42:37 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,ChangeUp,Live,,81.44028,-0.88554,4.76336,1648.99044,106.1513,9:30,3.63841,-3.33144,4.67417,,,,,,,,,,10.34152,2.84527,2.86152,50,3.51363,-9.19786,-117.9635,-3.22989,14.63971,21.46359,-28.14621,c3b62a49-3f59-462d-91a2-bf9cb6097177,e0c025a7-04ef-4d50-b7e8-71219c8b771c,,Pitch,21380013,,,,,,,,,,,,,,,,,,
38,10/13/2021,1:42:57 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.68552,-0.41738,3.77762,1973.53494,109.86651,9:45,3.81412,-3.0678,4.25043,-32.75945,6.75054,-18.77353,0.68385,-1.01177,79.27521,-6.37609,0.35363,0.4524,10.58023,3.54767,2.67389,50,3.7358,-7.53764,-125.6213,-2.23777,16.9385,25.00038,-26.49438,802c7b7a-0c94-45fd-a9cf-d1310e2a51a4,e0c025a7-04ef-4d50-b7e8-71219c8b771c,83.31618,Pitch,21380013,,,,,,,,,,,,,,,,,,
39,10/13/2021,1:43:27 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,76.99045,1.11665,2.42253,2180.45128,237.97979,2:00,3.76224,-3.6329,3.64994,-40.32707,10.98088,17.62765,1.4831,0.18125,70.45529,-6.13432,5.5993,0.51554,-8.10315,5.15908,3.32249,50,3.84872,-5.3942,-111.54778,0.63192,-10.1886,20.45315,-25.68721,e44dd93a-dc28-4f18-b470-e4949ebcc93a,e0c025a7-04ef-4d50-b7e8-71219c8b771c,73.11231,Pitch,21380013,,,,,,,,,,,,,,,,,,
40,10/13/2021,1:43:48 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,78.37874,0.2865,3.9137,2317.88202,240.31721,2:00,3.6935,-3.71282,3.75462,-42.30979,7.44139,13.128,0.445,1.16641,71.43501,-7.33311,6.28525,0.50766,-5.39252,3.64446,3.23649,50,3.67943,-8.25744,-113.35777,-1.05053,-6.95409,22.4484,-27.47422,0fc325ba-c047-4696-8cea-0805d30ef91c,e0c025a7-04ef-4d50-b7e8-71219c8b771c,74.24738,Pitch,21380013,,,,,,,,,,,,,,,,,,
